host: 127.0.0.1 , port: 56828 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=17, tm_min=42, tm_sec=29, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'WRQ.txt' , status: File already exists
host: 127.0.0.1 , port: 36199 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=17, tm_min=42, tm_sec=37, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'WRQ.txt' , status: File already exists
host: 127.0.0.1 , port: 35223 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=17, tm_min=54, tm_sec=51, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'WRQ.txt' , status: File already exists
host: 127.0.0.1 , port: 47965 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=17, tm_min=56, tm_sec=47, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'WRQ.txt' , status: File already exists
host: 127.0.0.1 , port: 41240 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=17, tm_min=57, tm_sec=2, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'WRQ.txt' , status: File already exists
host: 127.0.0.1 , port: 42678 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=0, tm_sec=53, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: File already exists
host: 127.0.0.1 , port: 48330 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=1, tm_sec=15, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 44935 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=1, tm_sec=23, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 48155 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=3, tm_sec=22, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 47637 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=3, tm_sec=46, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 34980 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=8, tm_sec=52, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 49693 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=13, tm_sec=34, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 49693 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=13, tm_sec=47, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 49693 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=13, tm_sec=59, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 49693 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=14, tm_sec=39, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 56867 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=15, tm_sec=20, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 56867 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=15, tm_sec=50, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 56867 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=16, tm_sec=33, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 56867 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=17, tm_sec=22, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 56867 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=18, tm_sec=35, tm_wday=2, tm_yday=121, tm_isdst=1) , request: write b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 46315 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=18, tm_sec=58, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 34936 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=30, tm_sec=34, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 50842 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=30, tm_sec=56, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 34505 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=31, tm_sec=50, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 34758 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=42, tm_sec=33, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 45315 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=18, tm_min=43, tm_sec=21, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 49161 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=4, tm_sec=36, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 49161 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=4, tm_sec=50, tm_wday=2, tm_yday=121, tm_isdst=1) , request: write b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 52567 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=9, tm_sec=52, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 59310 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=11, tm_sec=24, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 48980 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=13, tm_sec=26, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: File already exists
host: 127.0.0.1 , port: 34652 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=13, tm_sec=38, tm_wday=2, tm_yday=121, tm_isdst=1) , request: write b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 43496 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=15, tm_sec=12, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 47765 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=17, tm_sec=38, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 41815 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=18, tm_sec=0, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textolargo.txt' , status: succesfull 
host: 127.0.0.1 , port: 60753 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=18, tm_sec=47, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 42602 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=19, tm_sec=37, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
host: 127.0.0.1 , port: 52270 , time: time.struct_time(tm_year=2019, tm_mon=5, tm_mday=1, tm_hour=19, tm_min=20, tm_sec=44, tm_wday=2, tm_yday=121, tm_isdst=1) , request: read b'textfile.txt' , status: succesfull 
